56.3 31.99 
57.32 7.26 
53.13 17.81 39.04
3x 40.6 3.21 
30.25 9.28 34.72 
68.33

47.84 43.44
1.88 95.86 24.56 
75.41 35.6 93.68 
8.87 95.09 6.22 
Abc 51.73 25.35 
57.49 13.42 73.87 
97.41 92.56 0.89 
18.41 95.8 

93.75 1.31 51.71 
96.8 79.27 79.06 
92 95.29 14.11 
36.61 86.02 34.93 
8.86 29.53 52.57 
25.93 51.92 77.46 
11.6 74.93 76.08 

86.69 74.58 31.62 
68.8 37.66 0.63 
51.82 34.7 63.48 
13.33 96.17 30.95 
49.11 13.92 96.32 
95.63 47.46 98.25 
 41.75 34.55 
83.34 85.77 56.12 
26.18 87.98 75.29 
79.49 66.8 43.26 
G 24.59 41.14 
52.72 99.43 9.42 
52.18 43.67 41.84 
31.19 55.48 51.49 
77.14 83.38 y 
56.74 30.74 23.07 
89.17 51.54 88.43 
28.4 93.14 45.86 
33.95 47.35 78.5 
 
12.6 57.15 13.27 
37.73 41.59 79.72 
69.87 24.46 70.48 
18 6.07 
56.29 67.54 6.5 
95.87 10.18 52.62 
26.63 83.9 82.42 
15.74 74.9 86.16 
34.28 49.18 58.06 
x 84.77 5.37 
58.1 91.84 56.98 
38.4 10.17 78.53 
38.57 22.87 54.62 
33.92 14.26 68.34 
43.75 84.89 24.12 
97.59 93.84 68.47 
50.91 85.21 86.54 
86.12 42.18 59.48 
40.21 14.38 28.36 
54.76 91.37 74.37 
6.68 64.32 49.19 
1.9 22.78 84.36 
11.88 27.45 96.6 
58.63 62.78 70.25 
7.32 30.15 96.1 
74.61 73.38 81.66 
57.54 68.14 37.69 

95.81 26.65 83.02 
35.45 85.37 82.44 
35 83.53 88.71 
8.63 53.46 69.68 
87.37 74.43 33.97 
J 47.37 11.02 
80.63 5.74 6.84 
71.15 54.18 43.03 
84.13 8.35 60.77 
62.5 23.6 49.12 
24.51 51.22 48.88 
87.27 53.45 34.68 
98.79 64.44 78.22 
61.61 80.09 13.24 
15.31 33.54 82.65 
30.28 82.96 89.98 

4.99 59.76 57.8 
91.85 24.92 36.52 
84.47 72.53 78.47 
50.69 70.12 41.02 
20.03 75.84 13.38 
70.37 25.31 14.38 
24.35 43.93 q
81.79 15.48 49.86 
29.91 20.22 1.14 
57.98 5.9 84.17 
5.01 30.28 2.35 
84.13 46.82 23.66 
92.52 70.31 29.66 

77.66 1.79 90.74 
35.75 79.92 63.7 
38.42 24.05 81.15 
59.06 79.02 18.49 
22.2 41.52 89.41 
41.45 74.01 77.45 
8.18 98.51 27.94 
88.72 4.36 75.45 
1.72 87.75 11.02 
69.34 96.01 68.15 
A s d
52.68 7.16 13.03 
90.59 41.68 37.86 
84.72 78.23 49.95 
93.94 35.52 41.88 
67.49 58.11 92.55 
8.96 30.74 39.54 
43.68 81.94 44.73 
17.17 38.03 34.25 
53.78 19.22 70.96 
12.7 18.53 47.65 
99.08 72.69 20.7 
60.74 83.15 28.74 
83.15 60.2 62.16 
37.35 62.8 90.04 
20.89 41.82 46.3 
43.7 24.72 99.34 
54.79 93.11 60.62 
79.58 42.38 99.01 
41.29 70.94 55.82 
35.02 0.54 55.62 
7.59 59.93 32.31 
18.2 3.16 2.35 
3.34 33.26 54.86 
79.69 99.82 37.67 
9.03 59.71 52.21 
30.18 11.37 86.65 
19.22 57.06 35.82 
36.7 1.81 36.28 
6.64 37.63 1.19 
44.58 50.28 86.05 
30.94 42.03 24.05 
22.47 42.89 36.83 
81.85 79.11 28.39 
99.46 53.72 98.19 
12.71 19.77 35.75 
29.68 68.69 63.18 
9.49 56.46 37.48 
22.85 35.96 62.19 
59.49 83.69 98.19 
52.72 86.49 10.78 
98.79 65.17 66.98 
50.14 53.71 50.62 
71.43 82.85 62.17 
96.19 51.27 4.9 
74.12 60.08 6.23 
14.61 21.12 29.11 
68.11 77.2 24.44 
72.79 96.16 1.5 
44.92 59.77 18.83 
8.05 93.2 23.37 
50.17 89.38 76.17 
11.1 54.88 63.77 
15.42 29.91 35.69 
1.63 37.3 3.67 
68.92 60.34 0.19 
92.26 19.99 97.58 
94.8 82.66 28.79 
45.91 25.45 51.71 
67.3 22.11 56.65 
17.32 36.21 13.58 
88.09 40.51 85.73 
31.04 3.25 13.95 
16.79 41.97 22.18 
74.73 43.24 2.33 
77.37 8.3 72.98 
85.59 23.11 69.04 
96.72 67.48 83.33 
28.52 56.55 62.4 
40.75 76.83 3.39 
23.35 71 44.69 
42.42 10.87 29.35 
84.32 8.56 8.71 
4.88 45.79 10.22 
13.67 67.11 12 
29.02 55.68 43.61 
10.34 65.44 10.35 
83.35 2.12 76.07 
50.52 80.54 61.54 
56.71 46.33 56.15 
95.56 87.47 63.72 
20.39 23.01 70.89 
30.25 68.29 26.72 
62.29 34.12 92.75 
16.22 12.53 97.26 
34.56 89.87 17.94 
16.77 27.54 65.4 
99.45 0.16 38.03 
55.49 13.47 29.33 
42.99 1.22 31.04 
76 38.51 40.24 
8.23 56.8 21.44 
79.05 10.89 60.16 
40.86 p
99.3 73.36 52.94 
30.39 45.27 36.07 
11.43 12.5 72.73 
15.06 71.21 44.98 
7.21 53.11 85.43 
23.98 96.97 10.35 
84.84 99.75 45.56 
84.34 74.36 60.09 
31.49 51.65 84.5 
85.79 10.54 72.4 
43.24 91.16 b
80.92 7.32 34.27 
13.97 71.46 93.38 
5.34 15.56 75.69 
79.49 79.58 46.29 
20.75 5.38 51.13 
35.94 50.82 85.51 
48.42 47.07 93.27 
Fruitcake
51.09 80.27 56.23 
1.21 7.45 91.74 
1.83 42.64 35.23 
84.95 17.9 58.01 
14.84 49.73 16.89 
39.82 76.69 32.72 
4.09 95.59 1.59 
75.93 60.78 22.15 
31.56 55.2 0.04 
77.68 66.65 72.79 
39.22 54.55 49 
25.86 48.42 75.23 
Lollipop
29.89 24.63 1.23 
82.75 50.05 25.65 
0.49 57.95 65.42 
22.21 25.97 83.34 
22.65 91.98 19.77 
59.97 53.97 14.05 
92.85 11.95 71.7 
31.02 85.54 34.96 
29.69 15.49 73.64 
7.27 37.32 15.93 
12.7 47.15 33.12 
13.88 61.9 47.51 
25.38 84.7 5.36 
17.28 85.39 17.48 
93.72 11.91 35.18 
16.31 61.58 40.75 
6.2 74.56 37.42 
97.78 57.8 86.71 
52 73.98 35.48 
38.18 68.17 74.7 
17.19 92.47 0.77 
83.11 43.4 77.09 

55.2 22.43 74.18 
38.56 57.95 21.71 
4.83 57.01 44.31 
93.02 49.03 9.07 
49.51 85.96 74.47 
41.08 81.31 59.26 
55.91 56.3 23.9 
70.52 92.79 57.94 
13.32 14.04 29.01 

69.31 22.99 68.78 
91.85 36.13 7.42 
43.46 83.68 13.33 
28.87 33.28 62.64 
78.45 52.29 5.92 
36.68 34.23 10.24 
8.28 27.73 11.71 
78.4 25.29 7.59 
32.06 29.46 40.77 
46.06 82.87 37.59 
40.97 15.17 85.01 
80.69 36.58 44.55 
1.37 40.78 17.39 
3.25 65.51 34.38 
95.42 90.86 89.2 
13.99 36.8 56.99 
41.52 69.67 30.42 
32.28 78.78 25.12 
92.51 46.42 44.66 
66.78 59.99 29.07 
53.02 66.29 82.76 
38.05 11.86 56.75 
85.2 35.91 46.49 
1.57 30.82 f
32.11 50.83 90.11 
9.86 51.88 14.79 
81.55 76.6 54.97 
96.62 28.41 48.46 
1.04 17.16 49.86 
93.52 42.6 33.44 
83.87 86.45 14.55 
99.63 21.55 59.37 
71.69 44.08 17.81 
4.46 39.01 39.6 
31.72 4.87 17.21 
25.12 41.17 28.55 
16.36 96.74 71.39 
5.58 74.44 23.29 
74.4 23.71 54.06 
57.85 97.49 19.16 
0.96 9.93 82.76 
10.13 90.56 15.36 
46.81 18.94 85.34 
90.98 0.15 55.57 
75.04 89.27 79.06 
89.81 73.98 74.64 
79.17 22.53 5.61 
27.37 99.76 77.41 
12.91 43.99 30.49 
73.51 95.1 43.4 
38.02 6.72 s
6.98 39.26 63.08 
58.58 78.05 79.8 
10.93 57.2 20.79 
71.57 70.15 41.8 
92.39 82.01 36.75 
45.35 13.09 8.7 
49 34.54 28.67 
17.74 17.05 93.52 
47.26 72.28 2.61 
38.25 98.12 28.19 
26.97 9.1 4.01 
28.03 6.73 81.9 
80.61 81.52 64.39 
84.63 76.52 81.06 
38.31 5.28 45.87 
64.08 20.87 29.8 
1.43 0.67 86.69 
53.88 31.12 54.45 
34.03 71.48 72.98 
37.43 51.17 54.54 
34.72 55.58 37.42 
3.47 12.48 20.55 
53.38 65.89 10.8 
85.57 48.81 92.46 
90.47 48.32 18.1 
22.79 74.51 52.31 
63.07 72.01 23.73 

52.65 62.45 40.48 
81.11 94.53 99.16 
66.02 97 39.53 
40.2 6.61 28.93 
64.27 14.92 43.69 
39.37 42.76 56.09 
4.75 92.46 78.86 
49.74 19.16 80.61 
28.75 91.37 66.87 
78.66 88.02 15.85 
33.19 83.75 2.69 
88.19 94.23 7.75 
25.89 64.8 96.81 
50.76 82.78 61.2 
63.45 99.32 25.07 
90.64 49.1 60.95 
53.46 70.66 99.31 
67.8 61.48 29.46 
11.43 56.53 7.41 
82.77 80.16 59.07 
52.23 93 16.71 
7 
66.85 84.77 53.79 
99.33 17.19 8.19 
53.83 8.5 71.51 
35.91 32.73 88.39 
99.26 50.41 64.23 
28.22 6.81 82.54 
6.28 35.43 58.84 
7.49 5.46 49.04 
82.02 91.01 75.01 
0.05 15.81 58.21 
82.41 45.39 36.74 
15.53 94.83 73.9 
71.04 68.94 21.44 
59.48 28.37 45.61 
60.68 14.83 34.49 
44.99 7.27 81.96 
14.24 16.09 99.04 
80.41 78 82.15 
86.76 22.8 94.57 
11.35 91.64 98.74 
